signal,description,pearson_r,pearson_p,spearman_rho,spearman_p
symbol_crowding_score,Symbol crowding (1 / other companies tagged),-0.20752515173751912,0.03828667491504599,-0.15996261625504113,0.11188662655910295
title_mention_score,Title mention (binary),-0.09419586082024364,0.3512380000922719,-0.13643365463098167,0.17588896947640806
content_density_score,"Content density (mentions / word count, normalized)",-0.0923239364765911,0.3609348802791778,-0.06151371600712929,0.543201045107606
recency_score,Recency (half-life decay),-0.1345034941009911,0.1821396458674444,-0.11950787831437842,0.23629295268308195
